geoid,county,state,centralScore
34001,Atlantic,New Jersey,0.4651734104046243
42021,Cambria,Pennsylvania,0.4651734104046243
49005,Cache,Utah,0.4651734104046243
22019,Calcasieu Parish,Louisiana,0.4651734104046243
12061,Indian River,Florida,0.46510619852622453
19155,Pottawattamie,Iowa,0.4648375451263538
19061,Dubuque,Iowa,0.4645692019050368
25015,Hampshire,Massachusetts,0.4645692019050368
48183,Gregg,Texas,0.4643681477207155
48187,Guadalupe,Texas,0.4643681477207155
12001,Alachua,Florida,0.4642342082492068
37019,Brunswick,North Carolina,0.46416726748377796
55139,Winnebago,Wisconsin,0.46416726748377796
51003,Albemarle,Virginia,0.46416726748377796
39085,Lake,Ohio,0.4640334438518091
55105,Rock,Wisconsin,0.4638328530259366
40041,Delaware,Oklahoma,0.46376602794986316
37025,Cabarrus,North Carolina,0.46363243554659367
21117,Kenton,Kentucky,0.46356566820276496
12087,Monroe,Florida,0.4634989200863931
12085,Martin,Florida,0.4634989200863931
42117,Tioga,Pennsylvania,0.4632987910189983
05033,Crawford,Arkansas,0.4632321197294575
05131,Sebastian,Arkansas,0.4632321197294575
55141,Wood,Wisconsin,0.46309883470004315
13139,Hall,Georgia,0.46283249460819553
08101,Pueblo,Colorado,0.4627659574468085
17179,Tazewell,Illinois,0.4625
42015,Bradford,Pennsylvania,0.4625
13245,Richmond,Georgia,0.4623671358804941
36045,Jefferson,New York,0.46230073244291253
26005,Allegan,Michigan,0.46230073244291253
23031,York,Maine,0.46230073244291253
28059,Jackson,Mississippi,0.46190271201033145
28033,DeSoto,Mississippi,0.46190271201033145
10005,Sussex,Delaware,0.4618364418938307
38089,Stark,North Dakota,0.4618364418938307
38101,Ward,North Dakota,0.461505376344086
36087,Rockland,New York,0.461505376344086
06053,Monterey,California,0.46143922018348627
37179,Union,North Carolina,0.4613730829869572
55109,St. Croix,Wisconsin,0.46117478510028653
36065,Oneida,New York,0.4611087236785561
48375,Potter,Texas,0.4610426811801776
39173,Wood,Ohio,0.46091065292096217
40051,Grady,Oklahoma,0.4608446671438797
33013,Merrimack,New Hampshire,0.46077870025765816
22073,Ouachita Parish,Louisiana,0.46071275225418634
29099,Jefferson,Missouri,0.46044914890573596
42033,Clearfield,Pennsylvania,0.460383295194508
18081,Johnson,Indiana,0.460383295194508
40145,Wagoner,Oklahoma,0.46018584703359544
40047,Garfield,Oklahoma,0.46018584703359544
12111,St. Lucie,Florida,0.46018584703359544
13223,Paulding,Georgia,0.46012006861063465
42069,Lackawanna,Pennsylvania,0.46005430898956695
47009,Blount,Tennessee,0.4599885681623321
13077,Coweta,Georgia,0.45985714285714285
26111,Midland,Michigan,0.459791458363091
40121,Pittsburg,Oklahoma,0.459791458363091
53057,Skagit,Washington,0.45966014565186347
06061,Placer,California,0.4594633171567228
49043,Summit,Utah,0.4592011412268188
55095,Polk,Wisconsin,0.4591356439880188
17019,Champaign,Illinois,0.45907016543069024
26055,Grand Traverse,Michigan,0.45907016543069024
40125,Pottawatomie,Oklahoma,0.45907016543069024
42059,Greene,Pennsylvania,0.4590047055468416
48139,Ellis,Texas,0.45874305258657544
27049,Goodhue,Minnesota,0.45874305258657544
39045,Fairfield,Ohio,0.45867768595041325
48367,Parker,Texas,0.45867768595041325
18127,Porter,Indiana,0.4586123379398775
55073,Marathon,Wisconsin,0.4585470085470085
19013,Black Hawk,Iowa,0.4584816977638513
17099,LaSalle,Illinois,0.45841640558245517
47113,Madison,Tennessee,0.458351131994874
21227,Warren,Kentucky,0.45822064056939504
27021,Cass,Minnesota,0.45802504268639727
26115,Monroe,Michigan,0.4579598804950918
53073,Whatcom,Washington,0.45789473684210524
40071,Kay,Oklahoma,0.4578296117195278
48251,Johnson,Texas,0.4578296117195278
26025,Calhoun,Michigan,0.45776450511945393
26123,Newaygo,Michigan,0.45776450511945393
53067,Thurston,Washington,0.45769941703398265
40101,Muskogee,Oklahoma,0.4575692963752665
36007,Broome,New York,0.4575042637862422
22101,St. Mary Parish,Louisiana,0.4575042637862422
09005,Litchfield,Connecticut,0.45743924968026145
36013,Chautauqua,New York,0.45743924968026145
12017,Citrus,Florida,0.45743924968026145
55063,La Crosse,Wisconsin,0.45737425404944587
21037,Campbell,Kentucky,0.4573092768859213
05069,Jefferson,Arkansas,0.45724431818181815
06079,San Luis Obispo,California,0.45724431818181815
51149,Prince George,Virginia,0.45717937792927144
42001,Adams,Pennsylvania,0.45717937792927144
36027,Dutchess,New York,0.45685495316491626
28035,Forrest,Mississippi,0.45685495316491626
49053,Washington,Utah,0.45666051922258477
24025,Harford,Maryland,0.45666051922258477
06113,Yolo,California,0.45659574468085107
13095,Dougherty,Georgia,0.45659574468085107
12015,Charlotte,Florida,0.45653098851226775
54069,Ohio,West Virginia,0.4564662507090187
42005,Armstrong,Pennsylvania,0.4564662507090187
40119,Payne,Oklahoma,0.4564662507090187
12089,Nassau,Florida,0.4564662507090187
06055,Napa,California,0.4564015312632922
37159,Rowan,North Carolina,0.456336830167281
33009,Grafton,New Hampshire,0.4562074829931973
36101,Steuben,New York,0.4561428368995324
37001,Alamance,North Carolina,0.45607820912439784
46103,Pennington,South Dakota,0.45607820912439784
48397,Rockwall,Texas,0.4558844356323467
04001,Apache,Arizona,0.4558844356323467
42115,Susquehanna,Pennsylvania,0.45569082672706684
40079,Le Flore,Oklahoma,0.45569082672706684
05051,Garland,Arkansas,0.45549738219895286
25003,Berkshire,Massachusetts,0.45536851039751025
30029,Flathead,Montana,0.45536851039751025
18105,Monroe,Indiana,0.45517533936651583
48135,Ector,Texas,0.45511098543757955
05145,White,Arkansas,0.45511098543757955
55059,Kenosha,Wisconsin,0.45511098543757955
55131,Washington,Wisconsin,0.454982332155477
42055,Franklin,Pennsylvania,0.454982332155477
24013,Carroll,Maryland,0.454982332155477
39057,Greene,Ohio,0.454982332155477
39167,Washington,Ohio,0.45491803278688525
16055,Kootenai,Idaho,0.45491803278688525
40037,Creek,Oklahoma,0.45485375158965663
55127,Walworth,Wisconsin,0.4547894885560893
08077,Mesa,Colorado,0.45472524367848566
06099,Stanislaus,California,0.45466101694915256
47119,Maury,Tennessee,0.45453261790454674
48091,Comal,Texas,0.45446844557390936
39103,Medina,Ohio,0.4543401552575865
55039,Fond du Lac,Wisconsin,0.4543401552575865
12131,Walton,Florida,0.4543401552575865
35013,Doña Ana,New Mexico,0.4540197461212976
17037,DeKalb,Illinois,0.4539557185164293
30063,Missoula,Montana,0.4537637440090217
55081,Monroe,Wisconsin,0.4537637440090217
55035,Eau Claire,Wisconsin,0.4537637440090217
40135,Sequoyah,Oklahoma,0.4535719318021699
40115,Ottawa,Oklahoma,0.4534441470629666
40021,Cherokee,Oklahoma,0.45331643430502744
12019,Clay,Florida,0.45331643430502744
40013,Bryan,Oklahoma,0.453125
39089,Licking,Ohio,0.452870005627462
55093,Pierce,Wisconsin,0.452870005627462
37049,Craven,North Carolina,0.4528063018708679
38015,Burleigh,North Dakota,0.4526789481085642
29037,Cass,Missouri,0.45261529808773904
56025,Natrona,Wyoming,0.45242445537596626
06107,Tulare,California,0.45242445537596626
41039,Lane,Oregon,0.452233773531891
24043,Washington,Maryland,0.4521702486304256
10001,Kent,Delaware,0.4519163273901446
17095,Knox,Illinois,0.4517894736842105
34037,Sussex,New Jersey,0.4515993265993266
04003,Cochise,Arizona,0.45153597980081356
45035,Dorchester,South Carolina,0.4514093395035759
35045,San Juan,New Mexico,0.45128277022290764
39003,Allen,Ohio,0.4510930493273543
28089,Madison,Mississippi,0.4510298444724674
48441,Taylor,Texas,0.4510298444724674
55117,Sheboygan,Wisconsin,0.4509666573269823
13153,Houston,Georgia,0.4509666573269823
45007,Anderson,South Carolina,0.4509034878834571
42013,Blair,Pennsylvania,0.4509034878834571
55097,Portage,Wisconsin,0.4508403361344538
15009,Maui,Hawaii,0.4507140856902828
23019,Penobscot,Maine,0.4507140856902828
40137,Stephens,Oklahoma,0.4506509869802604
19049,Dallas,Iowa,0.4506509869802604
13059,Clarke,Georgia,0.4505879059350504
48451,Tom Green,Texas,0.45052484254723585
29021,Buchanan,Missouri,0.45052484254723585
27041,Douglas,Minnesota,0.45046179680940385
38061,Mountrail,North Dakota,0.45014683261082367
48381,Randall,Texas,0.45014683261082367
34041,Warren,New Jersey,0.4500838926174497
36085,Richmond,New York,0.4500838926174497
48257,Kaufman,Texas,0.4500209702222844
45077,Pickens,South Carolina,0.449958065417948
29071,Franklin,Missouri,0.449895178197065
21145,McCracken,Kentucky,0.44983230855226386
41029,Jackson,Oregon,0.44976945647617717
39081,Jefferson,Ohio,0.44976945647617717
08014,Broomfield,Colorado,0.44970662196144173
21019,Boyd,Kentucky,0.44970662196144173
05115,Pope,Arkansas,0.44970662196144173
44005,Newport,Rhode Island,0.44964380500069845
51770,Roanoke city,Virginia,0.44964380500069845
13073,Columbia,Georgia,0.4495810055865922
20103,Leavenworth,Kansas,0.4493927125506073
37071,Gaston,North Carolina,0.4493927125506073
42061,Huntingdon,Pennsylvania,0.44932998324958123
17141,Ogle,Illinois,0.44932998324958123
40019,Carter,Oklahoma,0.44932998324958123
40089,McCurtain,Oklahoma,0.4492672714584787
42009,Bedford,Pennsylvania,0.44907924107142855
42065,Jefferson,Pennsylvania,0.44901659924675685
12035,Flagler,Florida,0.4489539748953975
22005,Ascension Parish,Louisiana,0.4488913680100404
01081,Lee,Alabama,0.44882877858337983
47147,Robertson,Tennessee,0.44857859531772576
48203,Harrison,Texas,0.4484536082474227
47001,Anderson,Tennessee,0.44839114082741327
26155,Shiawassee,Michigan,0.44839114082741327
22105,Tangipahoa Parish,Louisiana,0.44832869080779947
48097,Cooke,Texas,0.44832869080779947
55033,Dunn,Wisconsin,0.44826625818131177
01015,Calhoun,Alabama,0.44820384294068505
06087,Santa Cruz,California,0.44820384294068505
55071,Manitowoc,Wisconsin,0.44807906458797325
30013,Cascade,Montana,0.4479543556916226
51179,Stafford,Virginia,0.4479543556916226
39029,Columbiana,Ohio,0.4478920272714624
37037,Chatham,North Carolina,0.4478920272714624
26121,Muskegon,Michigan,0.44776742245096673
06017,El Dorado,California,0.44776742245096673
04027,Yuma,Arizona,0.44770514603616135
42111,Somerset,Pennsylvania,0.4476428869420108
01045,Dale,Alabama,0.4475806451612903
54061,Monongalia,West Virginia,0.44751842068677883
29091,Howell,Missouri,0.4473318510283491
72127,San Juan Municipio,Puerto Rico,0.4471454368662314
39133,Portage,Ohio,0.44708333333333333
26087,Lapeer,Michigan,0.44708333333333333
27131,Rice,Minnesota,0.44702124704902096
39013,Belmont,Ohio,0.44702124704902096
17115,Macon,Illinois,0.446835091615769
13217,Newton,Georgia,0.44677307425399027
26029,Charlevoix,Michigan,0.44671107410491256
40111,Okmulgee,Oklahoma,0.4466490911613709
