Date,State,Series_Complete_Yes,Booster_Doses,MMWR_week
2022-03-28,SC,2906617.0,1131109.0,13
2022-03-28,RI,863250.0,453058.0,13
2022-03-28,PW,18070.0,11259.0,13
2022-03-28,PR,2621675.0,1457717.0,13
2022-03-28,PA,8648165.0,3616714.0,13
2022-03-28,OR,2915560.0,1528067.0,13
2022-03-28,OK,2236308.0,824080.0,13
2022-03-28,OH,6781947.0,3468634.0,13
2022-03-28,NY,14806780.0,6628422.0,13
2022-03-28,NV,1854275.0,701277.0,13
2022-03-28,NM,1473817.0,719614.0,13
2022-03-28,NJ,6650876.0,3077390.0,13
2022-03-28,NH,927557.0,310364.0,13
2022-03-28,NE,1216775.0,594636.0,13
2022-03-28,ND,416245.0,167835.0,13
2022-03-28,NC,6275987.0,1628794.0,13
2022-03-28,MT,602234.0,282597.0,13
2022-03-28,MS,1530289.0,558553.0,13
2022-03-28,MP,43147.0,20288.0,13
2022-03-28,MO,3408593.0,1419025.0,13
2022-03-28,MN,3874799.0,2194255.0,13
2022-03-28,MI,5965097.0,3190700.0,13
2022-03-28,MH,25083.0,5273.0,13
2022-03-28,ME,1058283.0,577783.0,13
2022-03-28,MD,4519589.0,2249938.0,13
2022-03-28,MA,5382656.0,2707157.0,13
2022-03-28,LA,2470717.0,956898.0,13
2022-03-28,KY,2545004.0,1108554.0,13
2022-03-28,KS,1770506.0,743921.0,13
2022-03-28,IN,3667516.0,1647981.0,13
2022-03-28,IL,8638792.0,4329868.0,13
2022-03-28,ID,957533.0,396506.0,13
2022-03-28,IA,1940135.0,1014165.0,13
2022-03-28,HI,65.0,65.0,13
2022-03-28,GU,138117.0,58676.0,13
2022-03-28,GA,5748573.0,2062795.0,13
2022-03-28,FM,53505.0,11047.0,13
2022-03-28,FL,14263907.0,5584327.0,13
2022-03-28,DE,664659.0,295011.0,13
2022-03-28,DC,513626.0,186043.0,13
2022-03-28,CT,2793875.0,1420148.0,13
2022-03-28,CO,4013711.0,2039264.0,13
2022-03-28,CA,28081949.0,13894090.0,13
2022-03-28,AZ,4431044.0,1798551.0,13
2022-03-28,AS,40247.0,18643.0,13
2022-03-28,AR,1627282.0,627764.0,13
2022-03-28,AL,2481615.0,864599.0,13
2022-03-28,AK,451088.0,190651.0,13
2022-03-27,WY,295252.0,125054.0,13
2022-03-27,WV,1023839.0,459702.0,13
2022-03-27,WI,3787412.0,2095705.0,13
2022-03-27,WA,5482229.0,2806165.0,13
2022-03-27,VT,502412.0,298043.0,13
2022-03-27,VI,56402.0,16195.0,13
2022-03-27,VA,6188002.0,2875743.0,13
2022-03-27,UT,2043151.0,890358.0,13
2022-03-27,TX,17602097.0,6450764.0,13
2022-03-27,TN,3685654.0,1586626.0,13
2022-03-27,SD,534568.0,217621.0,13
2022-03-27,SC,2906603.0,1131092.0,13
2022-03-27,RI,863124.0,452761.0,13
2022-03-27,PW,18070.0,11259.0,13
2022-03-27,PR,2621670.0,1457715.0,13
2022-03-27,PA,8645882.0,3612306.0,13
2022-03-27,OR,2914717.0,1525740.0,13
2022-03-27,OK,2236264.0,824068.0,13
2022-03-27,OH,6781042.0,3466942.0,13
2022-03-27,NY,14805890.0,6626763.0,13
2022-03-27,NV,1854271.0,701271.0,13
2022-03-27,NM,1473591.0,719242.0,13
2022-03-27,NJ,6649928.0,3075614.0,13
2022-03-27,NH,927517.0,310332.0,13
2022-03-27,NE,1216773.0,594635.0,13
2022-03-27,ND,416243.0,167832.0,13
2022-03-27,NC,6274682.0,1627458.0,13
2022-03-27,MT,602231.0,282594.0,13
2022-03-27,MS,1530283.0,558551.0,13
2022-03-27,MP,43119.0,20128.0,13
2022-03-27,MO,3408574.0,1419017.0,13
2022-03-27,MN,3874471.0,2193507.0,13
2022-03-27,MI,5964322.0,3189383.0,13
2022-03-27,MH,25083.0,5273.0,13
2022-03-27,ME,1058269.0,577768.0,13
2022-03-27,MD,4519113.0,2248796.0,13
2022-03-27,MA,5382619.0,2707104.0,13
2022-03-27,LA,2470376.0,956471.0,13
2022-03-27,KY,2544831.0,1108261.0,13
2022-03-27,KS,1770503.0,743919.0,13
2022-03-27,IN,3666967.0,1647015.0,13
2022-03-27,IL,8636992.0,4326931.0,13
2022-03-27,ID,957427.0,396348.0,13
2022-03-27,IA,1940131.0,1014162.0,13
2022-03-27,HI,65.0,65.0,13
2022-03-27,GU,138078.0,58529.0,13
2022-03-27,GA,5748537.0,2062777.0,13
2022-03-27,FM,53152.0,10602.0,13
2022-03-27,FL,14261612.0,5579884.0,13
2022-03-27,DE,664646.0,295004.0,13
2022-03-27,DC,513498.0,185834.0,13
2022-03-27,CT,2792667.0,1416906.0,13
2022-03-27,CO,4013676.0,2039249.0,13
2022-03-27,CA,28079661.0,13890139.0,13
2022-03-27,AZ,4430250.0,1797292.0,13
2022-03-27,AS,40247.0,18643.0,13
2022-03-27,AR,1627276.0,627762.0,13
2022-03-27,AL,2481596.0,864594.0,13
2022-03-27,AK,450766.0,190024.0,13
2022-03-26,WY,295241.0,125051.0,12
2022-03-26,WV,1023817.0,459671.0,12
2022-03-26,WI,3786455.0,2093759.0,12
2022-03-26,WA,5482167.0,2806125.0,12
2022-03-26,VT,502410.0,298037.0,12
2022-03-26,VI,56402.0,16195.0,12
2022-03-26,VA,6186591.0,2873225.0,12
2022-03-26,UT,2043135.0,890347.0,12
2022-03-26,TX,17597789.0,6443931.0,12
2022-03-26,TN,3685618.0,1586604.0,12
2022-03-26,SD,534525.0,217546.0,12
2022-03-26,SC,2906511.0,1131056.0,12
2022-03-26,RI,862904.0,452332.0,12
2022-03-26,PW,18047.0,11244.0,12
2022-03-26,PR,2621669.0,1457714.0,12
2022-03-26,PA,8645789.0,3612196.0,12
2022-03-26,OR,2914707.0,1525712.0,12
2022-03-26,OK,2236171.0,823960.0,12
2022-03-26,OH,6779331.0,3463973.0,12
2022-03-26,NY,14803981.0,6624023.0,12
2022-03-26,NV,1853799.0,700651.0,12
2022-03-26,NM,1473127.0,718441.0,12
2022-03-26,NJ,6648370.0,3072426.0,12
2022-03-26,NH,927481.0,310293.0,12
2022-03-26,NE,1216763.0,594627.0,12
2022-03-26,ND,416223.0,167815.0,12
2022-03-26,NC,6273217.0,1625467.0,12
2022-03-26,MT,602216.0,282582.0,12
2022-03-26,MS,1530266.0,558537.0,12
2022-03-26,MP,43119.0,20128.0,12
2022-03-26,MO,3408517.0,1418964.0,12
2022-03-26,MN,3873551.0,2191755.0,12
2022-03-26,MI,5962891.0,3186876.0,12
2022-03-26,MH,25058.0,5259.0,12
2022-03-26,ME,1058240.0,577722.0,12
2022-03-26,MD,4516945.0,2246332.0,12
2022-03-26,MA,5382505.0,2706964.0,12
2022-03-26,LA,2469682.0,955503.0,12
2022-03-26,KY,2543581.0,1106999.0,12
2022-03-26,KS,1770007.0,743243.0,12
2022-03-26,IN,3665679.0,1644365.0,12
2022-03-26,IL,8631343.0,4321377.0,12
2022-03-26,ID,957201.0,395992.0,12
2022-03-26,IA,1940113.0,1014154.0,12
2022-03-26,HI,0.0,0.0,12
2022-03-26,GU,138075.0,58529.0,12
2022-03-26,GA,5748454.0,2062745.0,12
2022-03-26,FM,53152.0,10602.0,12
2022-03-26,FL,14257680.0,5575356.0,12
2022-03-26,DE,664639.0,294997.0,12
2022-03-26,DC,513252.0,185490.0,12
2022-03-26,CT,2792609.0,1416870.0,12
2022-03-26,CO,4013621.0,2039208.0,12
2022-03-26,CA,28072141.0,13875629.0,12
2022-03-26,AZ,4428973.0,1795295.0,12
2022-03-26,AS,40247.0,18643.0,12
2022-03-26,AR,1627260.0,627740.0,12
2022-03-26,AL,2481568.0,864584.0,12
2022-03-26,AK,450683.0,190018.0,12
2022-03-25,WY,295172.0,124895.0,12
2022-03-25,WV,1023630.0,459314.0,12
2022-03-25,WI,3785590.0,2092059.0,12
2022-03-25,WA,5480862.0,2803448.0,12
2022-03-25,VT,502329.0,297829.0,12
2022-03-25,VI,56387.0,16180.0,12
2022-03-25,VA,6185184.0,2870745.0,12
2022-03-25,UT,2043117.0,890327.0,12
2022-03-25,TX,17592371.0,6435310.0,12
2022-03-25,TN,3684689.0,1585014.0,12
2022-03-25,SD,534338.0,217297.0,12
2022-03-25,SC,2906439.0,1130993.0,12
2022-03-25,RI,862631.0,451737.0,12
2022-03-25,PW,18047.0,11244.0,12
2022-03-25,PR,2620159.0,1453236.0,12
2022-03-25,PA,8643588.0,3608912.0,12
2022-03-25,OR,2914073.0,1524182.0,12
2022-03-25,OK,2234796.0,822199.0,12
2022-03-25,OH,6777723.0,3461303.0,12
2022-03-25,NY,14800348.0,6618042.0,12
2022-03-25,NV,1853387.0,700067.0,12
2022-03-25,NM,1472726.0,717708.0,12
2022-03-25,NJ,6646780.0,3069394.0,12
2022-03-25,NH,925430.0,304162.0,12
2022-03-25,NE,1216742.0,594613.0,12
2022-03-25,ND,416165.0,167740.0,12
2022-03-25,NC,6271367.0,1622326.0,12
2022-03-25,MT,602205.0,282557.0,12
2022-03-25,MS,1529860.0,557831.0,12
2022-03-25,MP,43119.0,20128.0,12
2022-03-25,MO,3407591.0,1417088.0,12
2022-03-25,MN,3872693.0,2189884.0,12
2022-03-25,MI,5960593.0,3181065.0,12
2022-03-25,MH,25058.0,5259.0,12
2022-03-25,ME,1057982.0,577226.0,12
2022-03-25,MD,4511549.0,2241834.0,12
2022-03-25,MA,5382332.0,2706912.0,12
2022-03-25,LA,2468986.0,954593.0,12
2022-03-25,KY,2541799.0,1105036.0,12
2022-03-25,KS,1769601.0,742550.0,12
2022-03-25,IN,3664681.0,1642635.0,12
2022-03-25,IL,8626245.0,4315901.0,12
2022-03-25,ID,956841.0,395651.0,12
2022-03-25,IA,1939664.0,1013379.0,12
2022-03-25,HI,60.0,60.0,12
2022-03-25,GU,138072.0,58529.0,12
2022-03-25,GA,5746675.0,2060487.0,12
2022-03-25,FM,53151.0,10601.0,12
2022-03-25,FL,14254677.0,5570714.0,12
2022-03-25,DE,664421.0,294769.0,12
2022-03-25,DC,512925.0,184718.0,12
2022-03-25,CT,2792049.0,1415316.0,12
2022-03-25,CO,4012705.0,2037310.0,12
2022-03-25,CA,28065105.0,13860964.0,12
2022-03-25,AZ,4427708.0,1793141.0,12
2022-03-25,AS,40116.0,18146.0,12
2022-03-25,AR,1626617.0,626405.0,12
2022-03-25,AL,2480944.0,863817.0,12
2022-03-25,AK,450649.0,190009.0,12
2022-03-24,WY,295086.0,124782.0,12
2022-03-24,WV,1023102.0,458346.0,12
2022-03-24,WI,3784664.0,2090271.0,12
2022-03-24,WA,5479182.0,2799100.0,12
2022-03-24,VT,502244.0,297637.0,12
2022-03-24,VI,56381.0,16168.0,12
2022-03-24,VA,6184101.0,2869002.0,12
