,fips,Vaccination,Masks,Close_schools,Date,week
377,44,0,0,1,2020-03-16,8
378,44,0,1,1,2020-05-08,15
379,44,0,1,0,2020-11-30,45
380,44,0,1,1,2020-12-08,46
381,44,0,1,0,2021-01-19,52
382,44,1,1,0,2021-04-19,65
383,44,1,0,0,2021-05-18,69
384,44,1,1,0,2022-01-25,105
385,44,1,0,0,2022-02-12,107
386,44,0,0,0,2022-05-03,119
387,45,0,0,0,2020-01-01,-3
388,45,0,0,1,2020-03-16,8
389,45,0,1,1,2020-06-26,22
390,45,0,1,0,2021-03-02,58
391,45,1,1,0,2021-03-31,62
392,45,1,0,0,2021-05-11,68
393,45,1,1,0,2022-01-18,104
394,45,1,0,0,2022-02-08,107
395,45,0,0,0,2022-03-01,110
396,45,1,0,0,2022-03-15,112
397,45,0,0,0,2022-05-03,119
398,46,0,0,0,2020-01-01,-3
399,46,0,0,1,2020-03-12,7
400,46,0,0,0,2020-09-08,33
401,46,0,0,1,2020-11-15,42
402,46,0,0,0,2020-12-01,45
403,46,0,0,1,2021-01-29,53
404,46,0,0,0,2021-02-08,55
405,46,1,0,0,2021-04-05,63
406,46,1,1,0,2022-01-24,105
407,46,0,0,0,2022-05-05,119
408,47,0,0,0,2020-01-01,-3
409,47,0,0,1,2020-03-17,8
410,47,0,1,1,2020-07-03,23
411,47,0,1,0,2021-03-08,59
412,47,1,1,0,2021-04-05,63
413,47,1,0,0,2021-04-09,63
414,47,1,0,1,2021-08-30,84
415,47,1,0,0,2021-10-10,89
416,47,0,0,0,2022-05-03,119
417,48,0,0,0,2020-01-01,-3
418,48,0,0,1,2020-03-16,8
419,48,0,1,1,2020-04-13,12
420,48,0,0,1,2020-04-27,14
421,48,0,1,1,2020-07-03,23
422,48,0,1,0,2020-10-14,38
423,48,0,1,1,2020-11-08,41
424,48,1,1,1,2021-03-29,62
425,48,1,1,0,2021-05-10,68
426,48,1,0,0,2021-07-29,79
427,48,1,0,1,2021-08-11,81
428,48,1,0,0,2021-10-12,90
429,48,1,0,1,2021-11-12,94
430,48,1,0,0,2021-12-07,98
431,48,0,0,0,2022-05-02,119
432,49,0,0,0,2020-01-01,-3
433,49,0,0,1,2020-03-12,7
434,49,0,1,1,2020-06-27,22
435,49,0,0,1,2020-11-23,44
436,49,0,0,0,2021-02-08,55
437,49,1,0,0,2021-03-24,61
438,49,1,0,1,2022-03-28,114
439,49,0,0,0,2022-05-05,119
440,51,0,0,0,2020-01-01,-3
441,51,0,0,1,2020-03-16,8
442,51,0,1,1,2020-11-16,43
