geoid,county,state,pageRank
18141,St. Joseph,Indiana,2.161260669101248
02020,Anchorage Municipality,Alaska,2.161024937270019
29169,Pulaski,Missouri,2.1517797880574814
18005,Bartholomew,Indiana,2.1504398982455983
41067,Washington,Oregon,2.144991371383423
05143,Washington,Arkansas,2.1437599540780194
26161,Washtenaw,Michigan,2.1426245496086485
72005,Aguadilla Municipio,Puerto Rico,2.124261761458443
40047,Garfield,Oklahoma,2.1238356320242073
22109,Terrebonne Parish,Louisiana,2.1231233708728534
21015,Boone,Kentucky,2.1228122052773055
16069,Nez Perce,Idaho,2.1208380838080476
45013,Beaufort,South Carolina,2.1150839816404248
12099,Palm Beach,Florida,2.1141393148647225
40009,Beckham,Oklahoma,2.1083794525597552
36109,Tompkins,New York,2.1059598950577563
06001,Alameda,California,2.1001739942534363
21093,Hardin,Kentucky,2.0991135917558763
40153,Woodward,Oklahoma,2.093681983145559
26145,Saginaw,Michigan,2.0924918027958026
35009,Curry,New Mexico,2.0861031646531507
27083,Lyon,Minnesota,2.085038524978168
19057,Des Moines,Iowa,2.060167058611272
42027,Centre,Pennsylvania,2.059101218372896
16083,Twin Falls,Idaho,2.0578487294441232
39017,Butler,Ohio,2.0514929863817493
08013,Boulder,Colorado,2.05098180641005
28083,Leflore,Mississippi,2.0490738347445774
55139,Winnebago,Wisconsin,2.0353682146015846
56039,Teton,Wyoming,2.033175289058076
55035,Eau Claire,Wisconsin,2.033121007591377
05069,Jefferson,Arkansas,2.0281806253858568
46011,Brookings,South Dakota,2.024014252595618
47001,Anderson,Tennessee,2.0189531985761033
55087,Outagamie,Wisconsin,2.016752270632581
27037,Dakota,Minnesota,2.01289395089875
18057,Hamilton,Indiana,2.004377338528159
27113,Pennington,Minnesota,2.0006104797983726
30013,Cascade,Montana,1.9988236322220103
45063,Lexington,South Carolina,1.9984099336142906
38093,Stutsman,North Dakota,1.9962532858916002
33009,Grafton,New Hampshire,1.9851008435715725
20209,Wyandotte,Kansas,1.9752552652135893
20193,Thomas,Kansas,1.972054720849066
13179,Liberty,Georgia,1.9656197587611883
31145,Red Willow,Nebraska,1.9635657300265021
13313,Whitfield,Georgia,1.9604455738748154
28087,Lowndes,Mississippi,1.9591531061475858
05093,Mississippi,Arkansas,1.958962189003676
19167,Sioux,Iowa,1.9547176227078495
35049,Santa Fe,New Mexico,1.9537663155289748
51195,Wise,Virginia,1.9444447662612523
20175,Seward,Kansas,1.9418036465604147
38061,Mountrail,North Dakota,1.9401416631480681
24003,Anne Arundel,Maryland,1.9349521187851029
21199,Pulaski,Kentucky,1.9260012618105142
24005,Baltimore,Maryland,1.9238888639218188
27013,Blue Earth,Minnesota,1.9209221050912582
56025,Natrona,Wyoming,1.90816160465055
21125,Laurel,Kentucky,1.9067265940176517
16013,Blaine,Idaho,1.9042191323110844
20125,Montgomery,Kansas,1.9018540814169542
45051,Horry,South Carolina,1.9002566198418347
08059,Jefferson,Colorado,1.8989119740964018
30031,Gallatin,Montana,1.8922993739865728
48479,Webb,Texas,1.8892528070750454
21193,Perry,Kentucky,1.8865100057452258
45003,Aiken,South Carolina,1.8838750475304626
06073,San Diego,California,1.8830025969264532
51550,Chesapeake city,Virginia,1.8789090106942903
23019,Penobscot,Maine,1.8690521433202858
41017,Deschutes,Oregon,1.868427092609912
51161,Roanoke,Virginia,1.8658858161324436
36047,Kings,New York,1.848211538085312
17049,Effingham,Illinois,1.8454600414900573
31031,Cherry,Nebraska,1.8421910659829595
46135,Yankton,South Dakota,1.8415530123928998
54069,Ohio,West Virginia,1.838759347623527
51650,Hampton city,Virginia,1.833533970814998
51660,Harrisonburg city,Virginia,1.832789352600586
21209,Scott,Kentucky,1.831099616326774
19187,Webster,Iowa,1.8301640236747625
17077,Jackson,Illinois,1.830009947742502
54081,Raleigh,West Virginia,1.820062004791772
06019,Fresno,California,1.8098450978807328
48227,Howard,Texas,1.7985999136899011
05139,Union,Arkansas,1.79310912523493
42049,Erie,Pennsylvania,1.7903890830830431
09001,Fairfield,Connecticut,1.7888587610039595
42079,Luzerne,Pennsylvania,1.7842390112738271
39003,Allen,Ohio,1.7836175016646367
36007,Broome,New York,1.782708102209213
48389,Reeves,Texas,1.7805793479502836
37035,Catawba,North Carolina,1.777423872424671
26103,Marquette,Michigan,1.7703894142210115
29047,Clay,Missouri,1.7695572708564573
06059,Orange,California,1.767883106336815
26077,Kalamazoo,Michigan,1.7615900535994737
19179,Wapello,Iowa,1.7591357521966142
30041,Hill,Montana,1.7473681640758627
10003,New Castle,Delaware,1.747073185767176
17097,Lake,Illinois,1.7442922947014545
48357,Ochiltree,Texas,1.7417367965932768
17081,Jefferson,Illinois,1.7384780161829687
13285,Troup,Georgia,1.7360983460038468
17201,Winnebago,Illinois,1.7303421466608147
29091,Howell,Missouri,1.7229879926493055
35025,Lea,New Mexico,1.7194682278792937
06081,San Mateo,California,1.717890496460535
42081,Lycoming,Pennsylvania,1.7127511901097086
13139,Hall,Georgia,1.7117300958544612
29001,Adair,Missouri,1.705902302148293
31001,Adams,Nebraska,1.7046152773543897
