sampling_week,effective_concentration_rolling_average,region,state,name,fipscode
2020/5/13,5.678670451,West,ID,"Ada County, ID",16001
2020/5/13,70.58226754,West,CO,"Arapahoe County, CO",8005
2020/5/13,0,South,FL,"Brevard County, FL",12009
2020/5/13,234.2470711,Northeast,PA,"Dauphin County, PA",42043
2020/5/13,1.120303804,West,OR,"Deschutes County, OR",41017
2020/5/13,0,West,NV,"Elko County, NV",32007
2020/5/13,62.32188258,Northeast,NJ,"Essex County, NJ",34013
2020/5/13,1.759677785,Northeast,CT,"Fairfield County, CT",9001
2020/5/13,771.7639071,Northeast,PA,"Franklin County, PA",42055
2020/5/13,73.64760582,Northeast,MA,"Hampshire County, MA",25015
2020/5/13,0,South,KY,"Harrison County, KY",21097
2020/5/13,434.5991517,Midwest,MN,"Hennepin County, MN",27053
2020/5/13,0.456503676,Northeast,PA,"Indiana County, PA",42063
2020/5/13,62.17353081,South,KY,"Jefferson County, KY",21111
2020/5/13,114.2837504,Midwest,IN,"Lake County, IN",18089
2020/5/13,0,West,ID,"Latah County, ID",16057
2020/5/13,118.3769954,South,FL,"Miami-Dade County, FL",12086
2020/5/13,0,West,CA,"Monterey County, CA",6053
2020/5/13,176.7621983,Northeast,PA,"Montgomery County, PA",42091
2020/5/13,35.14149271,West,OR,"Multnomah County, OR",41051
2020/5/13,34.9718051,Northeast,NY,"Nassau County, NY",36059
2020/5/13,343.9130069,Northeast,DE,"New Castle County, DE",10003
2020/5/13,0,South,OK,"Oklahoma County, OK",40109
2020/5/13,1533.698833,South,FL,"Palm Beach County, FL",12099
2020/5/13,0,West,MT,"Park County, MT",30067
2020/5/13,0,Northeast,ME,"Penobscot County, ME",23019
2020/5/13,64.22068985,Midwest,IL,"Peoria County, IL",17143
2020/5/13,0,West,CA,"Placer County, CA",6061
2020/5/13,674.0881617,South,VA,"Stafford County, VA",51179
2020/5/13,139.2483804,Midwest,IN,"Steuben County, IN",18151
2020/5/13,129.0819825,Northeast,MA,"Suffolk County, MA",25025
2020/5/13,9.495856862,Midwest,IN,"Tippecanoe County, IN",18157
2020/5/13,0,Northeast,RI,"Washington County, RI",44009
2020/5/13,0,Northeast,PA,"Westmoreland County, PA",42129
2020/5/13,0,West,OR,"Yamhill County, OR",41071
2020/5/13,1.147073958,West,AZ,"Yavapai County, AZ",4025
2020/5/13,0,Northeast,ME,"York County, ME",23031
2020/5/20,25.76985481,West,ID,"Ada County, ID",16001
2020/5/20,60.85113141,West,CO,"Arapahoe County, CO",8005
2020/5/20,2.13369917,South,FL,"Brevard County, FL",12009
2020/5/20,0,Northeast,VT,"Chittenden County, VT",50007
