ResState,PoWState,Workers
District of Columbia,New Hampshire,58
District of Columbia,New Jersey,176
District of Columbia,New York,544
District of Columbia,North Carolina,87
District of Columbia,Ohio,100
District of Columbia,Oregon,22
District of Columbia,Pennsylvania,217
District of Columbia,Rhode Island,27
District of Columbia,Tennessee,17
District of Columbia,Texas,68
District of Columbia,Vermont,6
District of Columbia,Virginia,36802
District of Columbia,Washington,128
District of Columbia,West Virginia,53
District of Columbia,Wyoming,13
Florida,Alabama,8993
Florida,Alaska,245
Florida,Arizona,629
Florida,Arkansas,296
Florida,California,2456
Florida,Colorado,747
Florida,Connecticut,942
Florida,Delaware,351
Florida,District of Columbia,1168
Florida,Georgia,12995
Florida,Hawaii,170
Florida,Idaho,11
Florida,Illinois,4325
Florida,Indiana,1442
Florida,Iowa,513
Florida,Kansas,455
Florida,Kentucky,1274
Florida,Louisiana,3527
Florida,Maine,370
Florida,Maryland,2581
Florida,Massachusetts,2496
Florida,Michigan,2987
Florida,Minnesota,1087
Florida,Mississippi,984
Florida,Missouri,1506
Florida,Nebraska,565
Florida,Nevada,430
Florida,New Hampshire,521
Florida,New Jersey,3458
Florida,New Mexico,127
Florida,New York,8701
Florida,North Carolina,3659
Florida,North Dakota,626
Florida,Ohio,3174
Florida,Oklahoma,499
Florida,Oregon,147
Florida,Pennsylvania,3164
Florida,Puerto Rico,1009
Florida,Rhode Island,606
Florida,South Carolina,1874
Florida,South Dakota,135
Florida,Tennessee,1954
Florida,Texas,5911
Florida,Utah,244
Florida,Vermont,100
Florida,Virginia,3195
Florida,Washington,502
Florida,West Virginia,370
Florida,Wisconsin,1039
Florida,Wyoming,226
Georgia,Alabama,12228
Georgia,Alaska,133
Georgia,Arizona,426
Georgia,Arkansas,504
Georgia,California,1639
Georgia,Colorado,366
Georgia,Connecticut,285
Georgia,Delaware,69
Georgia,District of Columbia,702
Georgia,Florida,15309
Georgia,Hawaii,124
Georgia,Illinois,1607
Georgia,Indiana,772
Georgia,Iowa,441
Georgia,Kansas,357
Georgia,Kentucky,903
Georgia,Louisiana,952
Georgia,Maine,21
Georgia,Maryland,1083
Georgia,Massachusetts,716
Georgia,Michigan,896
Georgia,Minnesota,740
Georgia,Mississippi,916
Georgia,Missouri,510
Georgia,Montana,27
Georgia,Nebraska,262
Georgia,Nevada,335
Georgia,New Hampshire,16
Georgia,New Jersey,838
Georgia,New Mexico,149
Georgia,New York,2030
Georgia,North Carolina,5502
Georgia,North Dakota,155
Georgia,Ohio,1173
Georgia,Oklahoma,317
Georgia,Oregon,90
Georgia,Pennsylvania,1317
Georgia,Puerto Rico,59
Georgia,Rhode Island,47
Georgia,South Carolina,20877
Georgia,South Dakota,54
Georgia,Tennessee,37043
Georgia,Texas,3576
Georgia,Utah,106
Georgia,Vermont,20
Georgia,Virginia,2357
Georgia,Washington,332
Georgia,West Virginia,86
Georgia,Wisconsin,457
Georgia,Wyoming,76
Hawaii,Alaska,86
Hawaii,Arizona,124
Hawaii,California,982
Hawaii,Colorado,32
Hawaii,Connecticut,13
Hawaii,Delaware,5
Hawaii,District of Columbia,21
Hawaii,Florida,72
Hawaii,Georgia,10
Hawaii,Illinois,35
Hawaii,Indiana,6
Hawaii,Kansas,5
Hawaii,Kentucky,10
Hawaii,Louisiana,10
Hawaii,Maryland,97
Hawaii,Massachusetts,46
Hawaii,Michigan,24
Hawaii,Minnesota,41
Hawaii,Missouri,57
Hawaii,Nevada,97
Hawaii,New Hampshire,5
Hawaii,New Jersey,21
Hawaii,New York,85
Hawaii,North Carolina,46
Hawaii,North Dakota,16
Hawaii,Ohio,10
Hawaii,Oklahoma,65
Hawaii,Oregon,66
Hawaii,Rhode Island,11
Hawaii,South Carolina,34
Hawaii,Tennessee,10
Hawaii,Texas,84
Hawaii,Utah,44
Hawaii,Virginia,39
Hawaii,Washington,250
Idaho,Alabama,6
Idaho,Alaska,595
Idaho,Arizona,156
Idaho,Arkansas,2
Idaho,California,915
